sid	text
briefings.16 mutants	變種人無法見容於所有人類城市；甚至連出生在城牆之內的人類要是被發現是突變種都會被安樂死。儘管「部族」變種人可以靠近城市並且在護盾圍繞的情況下進入，他們仍然不被允許進入城市塔。<nl><nl>丹卡爾身為統治家族成員，他曾經有權能夠保證他的伙伴能夠進入城市；然而，雖然現在他在沙林市中不受歡迎，他必須找處一個方法好讓甘圖和伊婕能在不被發現的情況下偷溜進去。
briefings.21 aliens	當丹卡爾、甘圖和伊婕與「教團」議會商談時，不明部隊同時攻擊「極光」外圍許多設施。攻擊者很顯然不是人類而且看起來也不像一般的變種人或是「瘟疫」衍生種。他們之中有些看似像人的似乎領導著其他人；也有看起來是來由幾種不同種族、半活物和半機器組成的常備士兵。<nl><nl>議會議員們告訴丹卡爾類似生物已經在最近的考察任務期間遭遇到好幾次了，然而他們的起源和目的依舊不明。
briefings.21 arna	丹卡爾的妹妹，阿爾娜‧尼瓦拉，在她的兄長離開城市後正式地成為沙林市總督。然而，她的統治並不持久，因為對手家族尼瑪汀很快地便在暗中成功取而代之。藉由行賄、黑函以及一連串精心設計的「事故」，他們剝奪阿爾娜的忠誠護衛、顧問和助手。阿爾娜試圖反抗，不過她獨自一人無法有什麼作為。尼瑪汀家族開始支配她的行動。當她表明不再合作時，她的下場是被軟禁於他自己的官邸內而且遭人下藥，只能在官方場合短暫地出現在電視上。
briefings.21 aurora	「極光」城是一座人類和變種人聯手在「教團」的指導之下聯手建造的新大城市。它座落於「新希望」大陸。城市雖然尚未建造完全不過已經有人居住。這座城市不僅有和其他五座城市類似的抵禦「瘟疫」護盾，而且也擁有另一道設計來隱藏城市免於偵測的次要護盾。由於變種人不喜歡居住在巨大的水泥塔，他們於是在城市周圍設立了殖民地。<nl><nl>昆娜在釋放丹卡爾、阿爾娜、甘圖以及伊婕後把他們從沙林總督官邸傳送到「極光」城。
briefings.21 denkar	「教團」一直以來追蹤著丹卡爾‧尼瓦拉在沙林市的軍人生涯，所以議員們知道他可以成為一位能幹的指揮官。當外星異形開始攻擊時，他們立刻指派他為「極光」城的貴族指揮官並且派他前去抵禦一座位於城市外圍的科學設施。儘管困惑而且不確定對他奇蹟般的逃離沙林市這件事要怎麼想，丹卡爾很快地發現自己對抗一批完全不明的敵人。
briefings.21 kuna	判官昆娜‧尼達爾是一個稱為「教團」組織的秘密成員。在她向「教團」回報關於丹卡爾被捕的情況後，她接獲指示要把他和他妹妹連同變種人一起救出來，並且帶他們到秘密城市「極光」內的安全場所。昆娜制服了房間守衛，然後使用一種特殊的科技魔法裝置傳送她和重獲自由的囚犯們到「極光」城市
briefings.21 order	「教團」是一個跨越五座人類城市的秘密組織。其成員相信人類和變種人兩者的未來依靠在兩支陣營共同生活以及互助合作的能力。「教團」謹慎且秘密地招募其成員，挑選有著合適心態的個人。「教團」也為擁有隱性變種的人類提供庇護，像是出生後還沒被發現的通靈能力，把他們視為進化的結果而不是威脅。<nl><nl>人類與變種人聯盟努力的第一顆果實已經握在手中：結合傳統科技與魔法研發出的新科技，還有一整座新城市正在「新希望」大陸建造中。
briefings.22 diary	安卡爾‧尼瓦拉的日誌記載著他所有考古考察所收集來的資料，情報涉及人類和變種人傳說以即期他有關遠古時代的片段資料。結合了「教團」收集的知識，這本日誌也許可以揭露關於「失落之城」可能所在位置的線索。不過現在這本日誌落在叢林某個地方，就在安卡爾遭遇瓦倫人突擊的命運所在。
briefings.22 lost_city	人類的「失落之城」是個古老神話。幾乎沒有人曉得這則傳說，甚至更少人相信它的存在，更不用說有人知道它確實所在的位置了。根據故事敘述，這座城市是變種人和人類一同建設的而且繁榮興盛了許多年，直到有一天它神秘地消失了。<nl><nl>「教團」似乎對這個傳說十分重視，而且議會相信「失落之城」的遺產包含一個可能改變人類與變種人未來的秘密，像是：能對付「瘟疫」的武器。
briefings.22 meeting	議員們與丹卡爾及他的伙伴表明「教團」正在尋找神秘的人類「失落之城」，也就是目前五大城市的先驅。根據傳說及發現的珍貴考古資料，它是由古代人類和變種人在數個世紀以前建造的，而且保有可能改變這兩個種族未來的秘密。<nl><nl>丹卡爾和阿爾娜把這次任務看成是繼承他們父親的遺志，他們決定要盡全力幫助「教團」。甘圖也在「失落之城」的傳說與關於「救世主」預言之間看到關連，因此也願意提供協助。至於興奮不已的伊婕只把這整件事想成是個刺激的冒險。
briefings.23 diary	丹卡爾取回了他父親的日誌，帶回去後卻發現它被編成了密碼。幸運的是，結果阿爾娜擁有破解的鑰匙，因為他偶爾會協助安卡爾進行他的分析。然而，日記中的大量的資料片段和碑文文件即使經過破譯後仍然隱秘不明。<nl><nl>比對安卡爾的資料和「教團」的檔案庫之後，一處位於印加的地點被視為是適當的搜索目標。根據推測，一座人類前哨基地曾經在「失落之城」顛峰時代存在於此。
briefings.25 final_clue	進入古代前哨基地的隧道後，丹卡爾和他的伙伴很快地碰上困境，錯綜複雜的交會點和許多崩塌的入口。一片巨大的世界地圖浮雕裝飾牆壁，它的鍍金在層層塵土之下仍然閃著微光。基地和前哨站四處散佈於它鍍金的大陸，所有都連向一個單一、太陽形狀的黃金中樞點。即使沒有刻印文字，它的意義也很明顯。它是當時社會的中心，它的藝術家創造出這張地圖：「希望之城」！
briefings.26 prophecy	『當「救世主」出生時，你會從他的靈魂知道是他，所以馴服任何生物要堅強且純潔，即使越過死亡之門也是一樣。<nl><nl>而當「救世主」在失去希望的國度聽見聲音時，他會唱一首使野獸心碎的歌，野獸將陷入夢鄉，並且永遠沈睡。<nl><nl>然後我們將再次成為我們家園的主人。』
briefings.31 aliens	賈爾拉許是一支強大的外星異形種族，他們已經殖民許多星系並且征服他們的居民，把他們轉變成半機械工人、僕人以及軍人。<nl><nl>多年來，賈爾拉許一直在星際之間與進行一場大戰，對抗一支更為強大的對手，而他們覺得逐漸走向失敗。<nl><nl>戰爭期間，一個彷彿類似古代地球騎士團的賈爾拉許陣營因為失勢而遭驅逐。他們在一場關鍵戰鬥中戰敗，而他們的失敗導致一整個星系的毀滅。<nl><nl>這個「異教」如今試著以自己的方式來幫助他們的種族，藉此尋求贖罪，方法是：尋找「種子」然後使用它們對賈爾拉許的敵人母星發動宇宙級的攻擊。
briefings.31 resonator	心靈共振器是一種古代「希望之民」的裝置，由人類和變種人聯手創造。它遠本的目的是允許強大的心靈師與「碎片」連結並且試著減緩它發展和「瘟疫」的散佈。「希望之民」成功達成他們的目標，不過接著某件事出了問題，出了大問題。究竟發生什麼事仍然不明，不過這件事導致一場極度嚴重的反衝，觸動大規模的「瘟疫」突發，使得城市的防禦被壓倒而淪為廢墟。<nl><nl>以人類頂尖科技以及變種人魔法為動力，心靈共振器持續安靜地作用了好幾個世紀，保持「碎片」進入某種休止狀態並且最終避免賈爾拉許執行「促動」儀式。
briefings.31 sacrifice	「小心！我感覺到許多敵人接近中，」伊婕高呼，只在事情變得一團亂之前的重要時刻。異形士兵很快地從四面八方湧來，噴發出灼熱的電漿。一位高大的異形領袖從陰影中現身，使出強大一擊將丹卡爾打倒在地上並準備了結他的性命。<nl><nl>當死亡似乎近在眼前時，時間彷彿停了下來。混亂中，伊婕凝視著甘圖。她的導師跪著，手撐太陽穴，很顯然處於極大壓力之下。接著他的身體垮了下來，幾秒後，那位高大的異形轉向伊婕，然後甘圖的聲音在她腦海中響起。「沒事，我制服他了。他的軍隊不會攻擊你。但我恐怕失去自己了。」
briefings.31 seeds	隨著甘圖從塔卡席的知識中得知，「種子」是一個活生生天體的破片。它們飛越太空尋找適合的星球，消耗它們，並且把它們轉化成同類。最後，成熟的組織分裂出新的「種子」。<nl><nl>透過一種成為「促動」的程序或儀式，整個「種子」的能源可以被傳輸到選擇的目標，形成一道能夠消滅整顆行星的衝擊波。過程中，「種子」的宿主行星會遭到破壞而且很有可能被摧毀。<nl><nl>找出有「種子」在地球上後，賈爾拉許企圖執行這項儀式，但卻發現某種不明的力量保護著它不受啟動。他們的計畫因為當地居民的存在變得更加複雜，這對一個受「種子」感染這麼久時間的世界來說是一件非常罕見的事情。
briefings.31 tharksh	塔卡席大師是一名「異教」高階成員，只對大宗師本人負責。身為好幾位授命奪取並摧毀心靈共振器的大師之一，他幾乎成功完成了任務。<nl><nl>祭司長甘圖把他的心靈灌輸到塔卡席的軀體內，不過無法長久使他受到控制。然而，塔卡席的爪牙現在可由甘圖來指揮，他將利用他們來協助丹卡爾。
briefings.32 aa	「異教」在這個區域部署了一座防空設施，能夠從遠處使任何飛行載具的控制系統失去作用。受到奇襲並且反應因甘圖的控制而變慢，塔卡席勉強成功降落船艦沒把它在地面上摔爛。隊伍沒有工具好執行必須的維修讓這個機械重新起飛。<nl><nl>當然，賈爾拉許已經立刻派出巡邏隊朝著墜落地點前去了。
briefings.33 help	丹卡爾聯絡「極光」之後，不管會危及隱匿，議會毅然決定這次行動應該繼續，儘管要盡可能地維持低調。在心靈共振器周圍集結大規模武力只會使得它更容易被賈爾拉許發現。判官昆娜‧尼達爾，最近被晉升成指揮官，立刻徵收一輛太空梭並且飛往丹卡爾的位置，同行的有一小隊「極光」部隊和阿爾娜‧尼瓦拉。
briefings.34 jurra	喬藍是五座剩餘的人類城市之一，位於西伯利亞北方。<nl><nl>一支喬藍考察隊偵測到遠處有一架異形船艦墜落，而它的一些考察平民已經在戰場上見識過賈爾拉許；喬藍人指揮官，這位事業心強的傢伙，立刻想到那艘船艦可能包含珍貴的科技和其他值得掠奪的物品。他派出部隊前去消滅可能的敵方異形並且要確保該地區的安全。<nl><nl>同時，當地變種人，已經對喬藍人在他們土地上的考察隊忍無可忍，也取出了他們的武器準備攻擊。
briefings.35 hole	「地獄洞」是一處燒焦而且扭曲的荒土，是「碎片」在21世紀末降落於地球的所在；不用說，那也是「瘟疫」最先開始散播的地方。<nl><nl>「地獄洞」現在是「異教」所控制。為了保護他們的基地以及「碎片」本身，賈爾拉許圍繞著它豎立了一道巨大的圓頂護盾。只有他們的軍事單位能夠通過這道護盾，因此甘圖/塔卡席必須單獨進入，找出一條允許他的伙伴通過的道路。
briefings.36 acceleration	心靈共振器裝設在「碎片」附近，同時賈爾拉許心靈師就好定位準備完成「促動」儀式。這個古代裝置的存在將允許他釋放毀滅性更強大的攻擊，毫無疑問地勢必一舉將目標行星和地球毀滅。<nl><nl>伊婕必須使用她的精神感應與心靈共振器連結，使異形心靈師的意志無效並確保「碎片」不會啟動而非醒來。賈爾拉許的部隊將盡全力消滅她，意味著她要所能得到的所有保護。
briefings.bsa	對沙林市的貴族、軍人以及一般平民來說榮譽之事關係重大。每個社會階級有他自己的規則來定義榮譽和不榮譽的表現。<nl><nl>其中一個贏得或失去榮譽（大筆錢財也一樣）最華麗的方式莫過於血腥格鬥競技場。競技場建造在城市塔外圍的岩壁之間，為所有想成為競賽者的人開放。勝利的獎賞非常誘人，不過要警告的是；所有戰鬥都是至死方休！
briefings.rom	自稱為ROM的叛逃機器陣營已經在茂密的印加叢林深處建立了好幾座基地。最近，ROM開始以保密等級來建造某種可疑的設施，而那只代表著它們不懷好意！實際上ROM的機器人正在進行的考古研究以及搜尋古代科技使得事情變得更加糟糕。<nl><nl>滲透進入其中一座最大的ROM基地然後做你該做的事以確保那些機器不再威脅我們。
briefings.junkyard	很久以前，當戰勝「瘟疫」的希望仍然存在時，人類科學家和工程師創造了一種巨大、極為堅固耐用的知覺機器人──「拾荒者」，它的任務是在危險的荒地漫遊，收集散落的資源並且試圖從「瘟疫」的感染下收復領土。<nl><nl>「拾荒者」的創造者逝去已久，但他們的一些機器仍然「活著」。其中一具甚至在一處古代廢棄物堆積場集結了一群追隨者並且企圖拓展它的領地。在它成為一個大規模的威脅之前把它消滅！
briefings.dtb	如同丹卡爾和甘圖提到的，人類採礦考察隊很少達到像薩哈拉沙漠中沙丘鎮民的機構那樣的規模。蓄意地把危險生物聚集在一起更是反常，因為城市中的科學家通常對「瘟疫衍生體」興趣缺缺。<nl><nl>貴族指揮官法蘭克 N. 史坦到底在圖謀什麼？滲透進入他的主機地一探究竟。
briefings.safari	受「瘟疫」感染之地充滿危險。藏匿的怪獸潛伏在牠們的黑暗森林，巨大的變種人宣稱這些土地是他們的，而從遠古過去仍然在它們樹林之間邁步的強大機器人，用黯淡地人工智慧尋找已經滅絕很久的敵人！<nl><nl>你能夠全將他們擊敗並且收集他們守護的寶藏嗎？歡迎來到獵殺之旅，在這裡獵人可能馬上會成為獵物！
briefings.kharum	在沙漠中生活不是件簡單的事，特別是當你的村莊被怪物和「強盜」營地包圍時，不過當一具巨大瘋狂的機器人在附近被遺棄的堡壘中待了下來，而它的爪牙試圖奪取綠洲時，你的部族現在是新聯盟的一員！<nl><nl>協助喀倫村，贏得當地人的敬重並且獲取良好的獎賞。
briefings.cf	魔法永遠是一把雙面刃──「召喚魔法」同樣也是如此。使用「召喚魔法」的人常常得冒著被他企圖控制生物所吞食的危險！他的力量越強，這種法師的性命越危險，越有可能讓他的心靈被他重前的爪牙所制服。<nl><nl>勇敢面對墮落召喚師的領地並且將「地底世界」生物驅逐回牠們之前湧入的地方！
briefings.esperanza	人類數千年來追求長生不死徒勞無功。長久以來，名留青史才是一個人最接近永恆的成就，不過似乎至少有個人已經到達下一個境界。<nl><nl>當「希望之城」陷落後，他運用他龐大的生物學知識和機器複製自己，把他的記憶轉移到那些機器之中然後「存活」好幾個世紀。然而這種科技運用並不完美，而瑕疵發展成了…好吧，現在你手上擁有一批瘋狂科學家軍隊！
briefings.rh	「異教」來到地球所追求是要用於賈爾拉許戰爭的「種子」，他們對這顆星球本身並無興趣，不過他們的階層之中有些喜歡上這個新發現的世界。這是一顆多采多姿行星，充滿可以轉變成奴隸的生命。「異教」中這些人希望一同捨棄戰爭並且留在地球上。<nl><nl>現在這些叛徒已經從賈爾拉許武力中脫離並試圖在地球上立足。攻擊他們的基地，確保他們未來不會對你的陣營構成威脅。
briefings.dtb2	貴族指揮官史坦結果只是一位出自全息圖像的神秘人士看門人。他到底是誰而且為何如此熱切於戰鬥是最大的謎團。<nl><nl>流傳於薩哈拉沙漠的一則神話故事述說著一名無敵戰士渴望求敗得到最後的安息。如果最後你能找到他，你能夠贏得決鬥並且實現他的願望嗎？
