sid	text:de
obj.Help the mutants	Helfen Sie den Mutanten!
obj.Help the village defenders	Helfen Sie den Dorfverteidigern!
obj.Kill the Big One	Erledigen Sie die Gigantin!
obj.Explore the area ahead	Erkunden Sie das Gebiet, das vor Ihnen liegt!
obj.Search the area ahead	Durchsuchen Sie das vor Ihnen liegende Gebiet!
		
// 25		
obj.Find Esperanza gates	Finden Sie die Tore von Esperanza!
obj.Enter Esperanza	Betreten Sie Esperanza!
obj.Disable the gate forcefield	Deaktivieren Sie das Kraftfeld am Tor!
obj.Protect the entrance	Beschützen Sie den Eingang!
		
// 26		
obj.Open the gates	Öffnen Sie die Tore!
obj.Eliminate the aliens	Eliminieren Sie die Aliens!
obj.Find the ancient device	Finden Sie den Ursprung des Signals!
		
// 31		
obj.Find Tharksh's ship	Finden Sie Tharkshs Schiff!
obj.Protect the Psi Resonator	Beschützen Sie den Psi-Resonator!
obj.Defeat the enemy Master	Bezwingen Sie den feindlichen Meister!
		
// 32		
obj.Locate the enemy base	Finden Sie das feindliche Lager!
obj.Destroy the enemy base	Zerstören Sie das feindliche Lager!
obj.Protect the ship	Beschützen Sie das Schiff!
obj.Ship hull:	Schiffsrumpf:
obj.Deal with the gas	Kümmern Sie sich um das Gas!
		
// 33		
obj.Protect the ship	Beschützen Sie das Schiff!
obj.Time until next turret arrives:	Zeit bis zur Ankunft des nächsten Geschützturms:
obj.Help the mutants	Helfen Sie den Mutanten!
obj.Destroy the AA site	Zerstören Sie die Flugabwehr!
obj.AA facility hull	Außenhülle der Flugabwehrstellung
		
// 34		
obj.Proceed onward	Folgen Sie dem Pfad!
obj.Protect the Psi Resonator	Beschützen Sie den Psi-Resonator!
obj.Eliminate Vasilii	Beseitigen Sie Vasilii!
obj.Vasilii health left:	Vasiliis Gesundheit:
obj.Destroy the mutants temple	Zerstören Sie den Tempel der Mutanten!
obj.Temple hit points:	Trefferpunkte des Tempels:
obj.Secure the landing zone	Verteidigen Sie den Landeplatz!
obj.Time until the ship arrives:	Zeit bis zur Ankunft des Schiffs:
		
// 35		
obj.Escort Eji to the Shard	Begleiten Sie Eji zur Scherbe!
obj.Disable the teleporter	Deaktivieren Sie den Teleporter!
obj.Find the teleporter controls	Finden Sie die Teleportersteuerung!
obj.Use only alien units	Setzen Sie nur Jaar-Lash-Einheiten ein!
obj.Activate the teleporter	Aktivieren Sie den Teleporter!
obj.Teleport all friendly units	Teleportieren Sie alle verbündeten Einheiten!
obj.Use the teleporter to escape	Fliehen Sie mit dem Teleporter!
obj.All avatars must be in range	Alle Charaktere müssen in Reichweite sein!
		
// 36		
obj.Attack the enemy psychic	Greifen Sie den feindlichen Spiritisten an!
obj.Protect Eji	Beschützen Sie Eji!
obj.Find suitable spot for Eji	Finden Sie eine geeignete Stelle für Eji!
		
// ROM		
obj.Engage HF1337	Greifen Sie HF1337 an!
obj.Shuttle arrives in:	Schiffsankunft in:
obj.Destroy HF1337	Zerstören Sie HF1337!
obj.Hull:	Rumpf:
obj.Energy:	Energie:
obj.Deactivate the cannon	Deaktivieren Sie das Geschütz!
obj.Power cores left:	Verbliebene Energiezellen:
		
// JUNKYARD		
obj.Teleport	Teleportieren!
obj.Clean up time:	Beute-Räumungszeit:
obj.Defeat Gorgar the Late	Bezwingen Sie Gorgar 2.0!
obj.Defeat Trashmaster Ditz	Bezwingen Sie Schrottmeister Ditz!
obj.Defeat Xessk	Bezwingen Sie Xessk!
		
// BSA		
obj.Defeat the Battle Yamu	Bezwingen Sie das Kampf-Yamu!
obj.Defeat the Howling Horror	Bezwingen Sie das Reptil!
obj.Defeat all enemies	Bezwingen Sie alle Feinde!
obj.Defeat the machines	Bezwingen Sie die Maschinen!
obj.Defeat the third wave	Bezwingen Sie die dritte Welle!
obj.Defeat the Hellfires	Bezwingen Sie die Höllenfeuer!
obj.Go to start position	Begeben Sie sich zur Startposition!
obj.Enter The Arena	Betreten Sie die Arena!
		
// DTB		
obj.investigate_dtb	Finden Sie den Commander des Stützpunktes!
obj.kill_frank	Eliminate Frank N. Stein	Eliminieren Sie Frank N. Stein!
obj.kill_adam	Erledigen Sie Adam!
		
// Kharum		
obj.Defeat Trashmaster Ulv	Bezwingen Sie Schrottmeister Ulv!
obj.Protect the village	Beschützen Sie das Dorf!
obj.Help the villagers to survive the attack	Helfen Sie den Dorfbewohnern, den Angriff zu überstehen!
obj.Village is safe	Das Dorf ist in Sicherheit!
obj.Talk to the village's High Priest	Sprechen Sie mit dem Hohepriester des Dorfes!
obj.Eliminate the threat	Beseitigen Sie die Bedrohung!
obj.Attack sources neutralized:	Neutralisierte Bedrohungen:
obj.Threat eliminated	Bedrohung beseitigt.
obj.Talk to Ran Boo	Sprechen Sie mit Ran Boo!
obj.Find Ran Boo	Finden Sie Ran Boo!
obj.Return to the village	Kehren Sie zum Dorf zurück!
obj.Engage Trashmaster Ulv	Greifen Sie Schrottmeister Ulv an!
obj.Activate the ancient device	Aktivieren Sie das alte Gerät!
obj.Power sources activated:	Aktivierte Energiequellen:
obj.Help the village	Helfen Sie dem Dorf!
		
// Safari		
obj.Kill the Queen	Erledigen Sie die Königin!
obj.Kill Mech 0	Erledigen Sie Mech 0!
obj.Kill Jack	Erledigen Sie Jack!
obj.Find Bill	Finden Sie Bill!
obj.Kill Bill	Erledigen Sie Bill!
obj.Explore the area	Erkunden Sie das Gebiet!
